CHRONIC CONDITIONS,,,,,
Addison's Disease,E27.1,Primary adrenocortical insufficiency,,,
Diabetes Insipidus,E23.2,Diabetes insipidus,,,
Diabetes Insipidus,N25.1,Nephrogenic diabetes insipidus,,,
Diabetes Mellitus Type 1,G59.0,Diabetic mononeuropathy (E10-E14+ with common fourth character .4),,,
Diabetes Mellitus Type 1,G63.2,Diabetic polyneuropathy (E10-E14+ with common fourth character .4),,,
Diabetes Mellitus Type 1,E10.0,Insulin-dependent diabetes mellitus with coma,,,
Diabetes Mellitus Type 1,E10.1,Insulin-dependent diabetes mellitus with ketoacidosis,,,
Diabetes Mellitus Type 1,E10.2+I79.2*,Insulin-dependent diabetes mellitus with renal complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.2+N08.3*,"Insulin-dependent diabetes mellitus with renal complications/Insulin-dependent diabetic nephropathy, intracapillary glomerulonephrosis, Kimmelstiel-Wilson syndrome",,,
Diabetes Mellitus Type 1,E10.3+H28.0*,Insulin-dependent diabetes mellitus with ophthalmic complications/ Diabetic cataract,,,
Diabetes Mellitus Type 1,E10.3+H36.0*,Insulin-dependent diabetes mellitus with ophthalmic complications/ Diabetic retinopathy,,,
Diabetes Mellitus Type 1,E10.3,Insulin-dependent diabetes mellitus with ophthalmic complications/Diabetic retinopathy (E10-E14+ with common fourth character .3),,,
Diabetes Mellitus Type 1,E10.3+I79.2*,Insulin-dependent diabetes mellitus with ophthalmic complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.4+G59.0*,Insulin-dependent diabetes mellitus with neurological complications/ Diabetic mononeuropathy,,,
Diabetes Mellitus Type 1,E10.4+G63.2*,Insulin-dependent diabetes mellitus with neurological complications/ Diabetic polyneuropathy,,,
Diabetes Mellitus Type 1,E10.4,Insulin-dependent diabetes mellitus with neurological complications/Diabetic polyneuropathy (E10-E14+ with common fourth character .4),,,
Diabetes Mellitus Type 1,E10.4+G73.0*,Insulin-dependent diabetes mellitus with neurological complications/ Diabetic amyotrophy,,,
Diabetes Mellitus Type 1,E10.4+G99.0*,Insulin-dependent diabetes mellitus with neurological complications/Daibeteic autonomic neuropathy and or Diabetic autonomic polyneuropathy,,,
Diabetes Mellitus Type 1,E10.4+I79.2*,Insulin-dependent diabetes mellitus with neurological complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.5,Insulin-dependent diabetes mellitus with peripheral circulatory complications,,,
Diabetes Mellitus Type 1,E10.6,Insulin-dependent diabetes mellitus with other specified complications,,,
Diabetes Mellitus Type 1,E10.6+I79.2*,Insulin-dependent diabetes mellitus with other specified complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.6+M14.2*,Insulin-dependent diabetes mellitus with other specified complications/Diabetic arthropathy,,,
Diabetes Mellitus Type 1,E10.6+M14.6*,Insulin-dependent diabetes mellitus with other specified complications/Diabetic neuropathic arthropathyarthropathy,,,
Diabetes Mellitus Type 1,E10.7,Insulin-dependent diabetes mellitus with multiple complications,,,
Diabetes Mellitus Type 1,E10.7+I79.2*,Insulin-dependent diabetes mellitus with multiple complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.8,Insulin-dependent diabetes mellitus with unspecified complications,,,
Diabetes Mellitus Type 1,E10.8+I79.2*,Insulin-dependent diabetes mellitus with unspecified complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E10.9,Insulin-dependent diabetes mellitus without complications,,,
Diabetes Mellitus Type 1,E10.9+I79.2*,Insulin-dependent diabetes mellitus without complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.0,Malnutrition-related diabetes mellitus with coma,,,
Diabetes Mellitus Type 1,E12.1,Malnutrition-related diabetes mellitus with ketoacidosis,,,
Diabetes Mellitus Type 1,E12.2+I79.2*,Malnutrition-related diabetes mellitus with renal complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.2+N08.3*,"Malnutrition-related diabetes mellitus with renal complications/Insulin-dependent diabetic nephropathy, intracapillary glomerulonephrosis, Kimmelstiel-Wilson syndrome",,,
Diabetes Mellitus Type 1,E12.3+H28.0*,Malnutrition-related diabetes mellitus with ophthalmic complications/ Diabetic cataract,,,
Diabetes Mellitus Type 1,E12.3,Malnutrition-related diabetes mellitus with ophthalmic complications/Diabetic cataract (E10-E14+ with common fourth character .3),,,
Diabetes Mellitus Type 1,E12.3+H36.0*,Malnutrition-related diabetes mellitus with ophthalmic complications/ Diabetic retinopathy,,,
Diabetes Mellitus Type 1,E12.3+I79.2*,Malnutrition-related diabetes mellitus with ophthalmic complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.4+G59.0*,Malnutrition-relatedt diabetes mellitus with neurological complications/ Diabetic mononeuropathy,,,
Diabetes Mellitus Type 1,E12.4+G63.2*,Malnutrition-related diabetes mellitus with neurological complications/Diabetic polyneuropathy (E10-E14+ with common fourth character .4),,,
Diabetes Mellitus Type 1,E12.4,Malnutrition-related diabetes mellitus with neurological complications,,,
Diabetes Mellitus Type 1,E12.4+G73.0*,Malnutrition-relateddiabetes mellitus with neurological complications/ Diabetic amyotrophy,,,
Diabetes Mellitus Type 1,E12.4+G99.0*,Malnutrition-relateddiabetes mellitus with neurological complications/Daibeteic autonomic neuropathy and or Diabetic autonomic polyneuropathy,,,
Diabetes Mellitus Type 1,E12.4+I79.2*,Malnutrition-related diabetes mellitus with neurological complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,,,
Diabetes Mellitus Type 1,E12.5+I79.2*,Malnutrition-related diabetes mellitus with peripheral circulatory complications/ Diabetic peripheral angiopathy,,,
Diabetes Mellitus Type 1,E12.6,Malnutrition-related diabetes mellitus with other specified complications,,,
Diabetes Mellitus Type 1,E12.6+I79.2*,Malnutrition-related diabetes mellitus with other specified complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.6+M14.2*,Malnutrition-related  diabetes mellitus with other specified complications/Diabetic arthropathy,,,
Diabetes Mellitus Type 1,E12.6+M14.6*,Malnutrition-related  diabetes mellitus with other specified complications/Diabetic neuropathic arthropathyarthropathy,,,
Diabetes Mellitus Type 1,E12.7,Malnutrition-related diabetes mellitus with multiple complications,,,
Diabetes Mellitus Type 1,E12.7+I79.2*,Malnutrition-related diabetes mellitus with multiple complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.8,Malnutrition-related diabetes mellitus with unspecified complications,,,
Diabetes Mellitus Type 1,E12.8+I79.2*,Malnutrition-related diabetes mellitus with unspecified complications/Peripheral angiopathy in diseases classified elsewhere,,,
Diabetes Mellitus Type 1,E12.9,Malnutrition-related diabetes mellitus without complications,,,
